date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:47	134026/134026	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:15%20GMT	https://html.dynamiclayers.net/te/cleanz/index.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/index.html	(from )
10:25:49	723/723	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jul%202020%2011:18:39%20GMT	https://html.dynamiclayers.net/robots.txt		(from )
10:25:50	26731/26731	---M--	200	added ('OK')	image/png	etag:%225f0d53cc-686b%22	https://html.dynamiclayers.net/te/cleanz/assets/img/favicon.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/favicon.png	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:25:51	55057/55057	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d5366-d711%22	https://html.dynamiclayers.net/te/cleanz/assets/css/fontawesome.min.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/fontawesome.min.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:25:52	13862/13862	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d536e-3626%22	https://html.dynamiclayers.net/te/cleanz/assets/css/themify-icons.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/themify-icons.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:25:52	5862/5862	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d5363-1b9b%22	https://html.dynamiclayers.net/te/cleanz/assets/css/elegant-line-icons.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/elegant-line-icons.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:25:53	59198/59198	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d5360-e73e%22	https://html.dynamiclayers.net/te/cleanz/assets/css/animate.min.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/animate.min.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:25:55	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d5363-26f1b%22	https://html.dynamiclayers.net/te/cleanz/assets/css/bootstrap.min.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/bootstrap.min.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:25:55	1327/1327	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d536b-52f%22	https://html.dynamiclayers.net/te/cleanz/assets/css/slick.min.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/slick.min.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:25:56	40335/40335	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d536e-e959%22	https://html.dynamiclayers.net/te/cleanz/assets/css/slider.css	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/css/slider.css	(from https://html.dynamiclayers.net/te/cleanz/index.html)
